cdate,cp,prediction,actual
2015-03-18,2099.500,-0.099,0.000
2015-03-17,2074.280,0.046,1.216
2015-03-16,2081.190,-0.061,-0.332
2015-03-13,2053.400,0.049,1.353
2015-03-12,2065.950,0.066,-0.607
2015-03-11,2040.240,0.040,1.260
2015-03-10,2044.160,0.062,-0.192
2015-03-09,2079.430,-0.088,-1.696
2015-03-06,2071.260,0.165,0.394
2015-03-05,2101.040,0.054,-1.417
2015-03-04,2098.530,0.013,0.120
2015-03-03,2107.780,-0.048,-0.439
2015-03-02,2117.390,0.043,-0.454
2015-02-27,2104.500,-0.124,0.612
2015-02-26,2110.740,0.037,-0.296
2015-02-25,2113.860,0.074,-0.148
2015-02-24,2115.480,0.023,-0.077
2015-02-23,2109.660,-0.017,0.276
2015-02-20,2110.300,-0.051,-0.030
2015-02-19,2097.450,0.018,0.613
2015-02-18,2099.680,-0.091,-0.106
2015-02-17,2100.340,0.058,-0.031
2015-02-13,2096.990,0.155,0.160
2015-02-12,2088.480,0.006,0.407
2015-02-11,2068.530,0.044,0.964
2015-02-10,2068.590,-0.028,-0.003
2015-02-09,2046.740,-0.090,1.068
2015-02-06,2055.470,0.141,-0.425
2015-02-05,2062.520,0.061,-0.342
2015-02-04,2041.510,0.158,1.029
2015-02-03,2050.030,0.126,-0.416
2015-02-02,2020.850,0.103,1.444
2015-01-30,1994.990,-0.093,1.296
2015-01-29,2021.250,-0.172,-1.299
2015-01-28,2002.160,-0.009,0.953
2015-01-27,2029.550,0.100,-1.350
2015-01-26,2057.090,0.009,-1.339
2015-01-23,2051.820,-0.095,0.257
2015-01-22,2063.150,0.095,-0.549
2015-01-21,2032.120,0.105,1.527
2015-01-20,2022.550,-0.084,0.473
2015-01-16,2019.420,0.067,0.155
2015-01-15,1992.670,-0.133,1.342
2015-01-14,2011.270,-0.080,-0.925
2015-01-13,2023.030,0.034,-0.581
2015-01-12,2028.260,0.076,-0.258
2015-01-09,2044.810,0.036,-0.809
2015-01-08,2062.140,-0.017,-0.840
2015-01-07,2025.900,0.054,1.789
2015-01-06,2002.610,-0.017,1.163
2015-01-05,2020.580,-0.020,-0.889
2015-01-02,2058.200,-0.016,-1.828
2014-12-31,2058.900,-0.010,-0.034
2014-12-30,2080.350,-0.084,-1.031
2014-12-29,2090.570,-0.082,-0.489
2014-12-26,2088.770,-0.087,0.086
2014-12-24,2081.880,-0.051,0.331
2014-12-23,2082.170,0.201,-0.014
2014-12-22,2078.540,0.207,0.175
2014-12-19,2070.650,0.017,0.381
2014-12-18,2061.230,-0.108,0.457
2014-12-17,2012.890,0.088,2.402
2014-12-16,1972.740,-0.031,2.035
2014-12-15,1989.630,0.025,-0.849
2014-12-12,2002.330,-0.066,-0.634
2014-12-11,2035.330,-0.076,-1.621
2014-12-10,2026.140,-0.158,0.454
2014-12-09,2059.820,-0.044,-1.635
2014-12-08,2060.310,-0.037,-0.024
2014-12-05,2075.370,0.094,-0.726
2014-12-04,2071.920,0.066,0.167
2014-12-03,2074.330,-0.030,-0.116
2014-12-02,2066.550,-0.023,0.376
2014-12-01,2053.440,-0.010,0.638
2014-11-28,2067.560,-0.069,-0.683
2014-11-26,2072.830,-0.043,-0.254
2014-11-25,2067.030,0.035,0.281
2014-11-24,2069.410,0.021,-0.115
2014-11-21,2063.500,-0.046,0.286
2014-11-20,2052.750,-0.072,0.524
2014-11-19,2048.720,0.132,0.197
2014-11-18,2051.800,-0.001,-0.150
2014-11-17,2041.320,0.040,0.513
2014-11-14,2039.820,-0.032,0.074
2014-11-13,2039.330,-0.124,0.024
2014-11-12,2038.250,0.035,0.053
2014-11-11,2039.680,0.014,-0.070
2014-11-10,2038.260,0.146,0.070
2014-11-07,2031.920,-0.043,0.312
2014-11-06,2031.210,0.014,0.035
2014-11-05,2023.570,0.089,0.378
2014-11-04,2012.100,0.064,0.570
2014-11-03,2017.810,0.116,-0.283
2014-10-31,2018.050,-0.102,-0.012
2014-10-30,1994.650,-0.161,1.173
2014-10-29,1982.300,-0.025,0.623
